case_number,judgment_date,year,language_version,tribunal,filenames,article_number,invoked_by_party,addressed_by_court,court_discussion_level,court_paragraph_count
279/2006,2006-07-13,2006,ZH,TSI,9091_zh.txt,7,0,1,3,3
559/2010,2007-07-01,2007,PT,TSI,11435_pt.txt,25,1,0,0,1
528/2007,2007-07-17,2007,Bilingual,TUI,12543_pt.txt;539_pt.txt;539_zh.txt,38,0,1,2,1
440/2009,2008-03-04,2008,PT,TSI,7451_pt.txt,40,0,1,1,1
440/2009,2008-03-04,2008,PT,TSI,7451_pt.txt,129,0,1,3,2
780/2009,2009-01-01,2009,PT,TSI,6781_pt.txt,40,0,1,1,1
370/2013,2010-04-01,2010,PT,TSI,14259_pt.txt,36,0,1,1,1
361/2012,2010-05-27,2010,PT,TSI,16731_pt.txt,7,0,1,3,4
520/2010,2010-11-04,2010,PT,TSI,12085_pt.txt;6201_pt.txt,25,1,0,0,1
104/2001,2011-05-12,2011,PT,TUI,6779_pt.txt,25,1,1,2,2
434/2009,2011-07-21,2011,PT,TSI,8039_pt.txt,40,0,1,1,1
434/2009,2011-07-21,2011,PT,TSI,8039_pt.txt,129,0,1,3,2
153/2008,2011-07-28,2011,PT,TSI,7877_pt.txt,89,0,1,2,1
373/2009,2011-07-28,2011,PT,TSI,7949_pt.txt,83,0,1,2,1
438/2009,2011-07-28,2011,PT,TUI,7725_pt.txt,40,0,1,1,1
438/2009,2011-07-28,2011,PT,TUI,7725_pt.txt,129,0,1,3,2
401/2009,2011-09-22,2011,PT,TSI,8025_pt.txt,2,1,0,0,1
9/2010,2011-10-27,2011,PT,TSI,11319_pt.txt,98,1,0,0,1
209/2010,2011-11-24,2011,PT,TSI,11547_pt.txt,7,0,1,3,3
970/2010,2011-11-24,2011,PT,TSI,11479_pt.txt;19579_pt.txt,7,0,1,3,2
507/2010,2011-12-01,2011,PT,TUI,11727_pt.txt;12347_pt.txt;6319_pt.txt,25,1,0,0,1
507/2010,2011-12-01,2011,PT,TUI,11727_pt.txt;12347_pt.txt;6319_pt.txt,99,0,1,1,1
511/2010,2011-12-07,2011,PT,TUI,11669_pt.txt;7035_pt.txt,25,1,0,0,3
511/2010,2011-12-07,2011,PT,TUI,11669_pt.txt;7035_pt.txt,99,0,1,2,2
874/2010,2011-12-07,2011,PT,TSI,11501_pt.txt,38,0,1,2,1
695/2010,2011-12-15,2011,PT,TSI,11731_pt.txt,7,0,1,1,1
971/2010,2011-12-15,2011,PT,TSI,11679_pt.txt,7,0,1,3,3
714/2010,2012-01-19,2012,PT,TSI,11859_pt.txt,138,0,1,2,1
625/2011,2012-02-16,2012,PT,TUI,12029_pt.txt,7,0,1,3,22
98/2011,2012-03-08,2012,PT,,12013_pt.txt,138,0,1,2,1
29/2012,2012-04-26,2012,PT,TUI,12355_pt.txt;759_pt.txt,25,1,1,2,1
29/2012,2012-04-26,2012,PT,TUI,12355_pt.txt;759_pt.txt,99,0,1,2,2
569/2011,2012-06-14,2012,PT,TUI,12789_pt.txt,25,0,1,3,2
412/2010,2012-07-05,2012,PT,TUI,12829_pt.txt;13627_pt.txt;35383_pt.txt,29,1,0,0,2
296/2011,2012-07-19,2012,PT,TSI,13097_pt.txt,7,1,1,3,8
400/2012,2012-09-06,2012,PT,TSI,12981_pt.txt;13233_pt.txt,36,1,1,3,1
170/2012,2012-10-11,2012,PT,TSI,13213_pt.txt;13215_pt.txt,7,1,1,3,4
447/2012,2012-10-18,2012,PT,TSI,13401_pt.txt,35,0,1,2,1
43/2012,2012-11-15,2012,PT,TSI,13589_pt.txt,40,1,0,0,2
357/2007,2013-01-31,2013,PT,TSI,13933_pt.txt,65,0,1,3,3
214/2013,2013-05-09,2013,PT,TSI,14037_pt.txt,39,0,1,2,1
853/2012,2013-10-31,2013,PT,TSI,14593_pt.txt;17485_pt.txt,25,0,1,1,1
535/2013,2013-11-14,2013,PT,TSI,14815_pt.txt,7,1,1,3,4
88/2009,2013-11-21,2013,PT,TSI,14817_pt.txt,7,0,1,3,4
359/2012,2014-01-16,2014,PT,TSI,1507_pt.txt,7,1,0,0,1
359/2012,2014-01-16,2014,PT,TSI,1507_pt.txt,25,0,1,2,1
358/2012,2014-03-06,2014,PT,,15141_pt.txt,1,1,0,0,1
358/2012,2014-03-06,2014,PT,,15141_pt.txt,8,0,1,2,1
358/2012,2014-03-06,2014,PT,,15141_pt.txt,12,1,0,0,1
358/2012,2014-03-06,2014,PT,,15141_pt.txt,98,0,1,1,1
295/2012,2014-03-13,2014,PT,,15247_pt.txt,1,1,0,0,1
295/2012,2014-03-13,2014,PT,,15247_pt.txt,12,1,0,0,1
257/2012,2014-03-20,2014,PT,TSI,15457_pt.txt,25,0,1,2,1
257/2012,2014-03-20,2014,PT,TSI,15457_pt.txt,97,1,0,0,1
257/2012,2014-03-20,2014,PT,TSI,15457_pt.txt,98,0,1,3,4
299/2012,2014-03-20,2014,PT,,15399_pt.txt,1,1,0,0,1
299/2012,2014-03-20,2014,PT,,15399_pt.txt,8,0,1,2,1
299/2012,2014-03-20,2014,PT,,15399_pt.txt,12,1,0,0,1
299/2012,2014-03-20,2014,PT,,15399_pt.txt,98,0,1,1,1
